Preset ID,Preset,Script,Typewriter,Serif,Sans,Title,Additional Fonts,Description
id,name,qscript,typewriterFont,serifFont,sansFont,titleFont,additionalFonts,description
adlam,Adlam,Adlam,Noto Sans Adlam,Noto Sans Adlam,Noto Sans Adlam,Noto Sans Adlam,,
arabic,Arabic,Arabic,Noto Sans Arabic,Noto Sans Arabic,Noto Sans Arabic,Noto Sans Arabic,,
armenian,Armenian,Armenian,Noto Serif Armenian,Noto Serif Armenian,Noto Sans Armenian,Noto Sans Armenian,,
balinese,Balinese,Balinese,Noto Sans Balinese,Noto Sans Balinese,Noto Sans Balinese,Noto Sans Balinese,,
bengali,Bengali,Bengali,Noto Serif Bengali,Noto Serif Bengali,Noto Sans Bengali,Noto Sans Bengali,,
burmese,Burmese,Myanmar,Noto Serif Myanmar,Noto Serif Myanmar,Noto Sans Myanmar,Noto Sans Myanmar,,
cherokee,Cherokee,Cherokee,Noto Sans Cherokee,Noto Sans Cherokee,Noto Sans Cherokee,Noto Sans Cherokee,,
coptic,Coptic,Coptic,Noto Sans Coptic,Noto Sans Coptic,Noto Sans Coptic,Noto Sans Coptic,,
cyrillic,Cyrillic,Cyrillic,Causality Courier,Times New Roman,Arial,Arial,,
devanagari,Devanagari,Devanagari,Noto Serif Devanagari,Noto Serif Devanagari,Noto Sans Devanagari,Noto Sans Devanagari,,
divehi,Divehi,Thaana,Noto Sans Thaana,Noto Sans Thaana,Noto Sans Thaana,Noto Sans Thaana,,
ethiopic,Ethiopic,Ethiopic,Noto Serif Ethiopic,Noto Serif Ethiopic,Noto Sans Ethiopic,Noto Sans Ethiopic,,
georgian,Georgian,Georgian,Noto Serif Georgian,Noto Serif Georgian,Noto Sans Georgian,Noto Sans Georgian,,
greek,Greek,Greek,Causality Courier,Times New Roman,Arial,Arial,,
gujarati,Gujarati,Gujarati,Noto Serif Gujarati,Noto Serif Gujarati,Noto Sans Gujarati,Noto Sans Gujarati,,
gurmukhi,Gurmukhi,Gurmukhi,Noto Sans Gurmukhi,Noto Sans Gurmukhi,Noto Sans Gurmukhi,Noto Sans Gurmukhi,,
hebrew,Hebrew,Hebrew,Noto Serif Hebrew,Noto Serif Hebrew,Noto Sans Hebrew,Noto Sans Hebrew,,
japanese,Japanese,Japanese,Noto Serif CJK JP,Noto Serif CJK JP,Noto Sans CJK JP,Noto Sans CJK JP,,
javanese,Javanese,Javanese,Noto Sans Javanese,Noto Sans Javanese,Noto Sans Javanese,Noto Sans Javanese,,
kannada,Kannada,Kannada,Noto Serif Kannada,Noto Serif Kannada,Noto Sans Kannada,Noto Sans Kannada,,
khmer,Khmer,Khmer,Noto Serif Khmer,Noto Serif Khmer,Noto Sans Khmer,Noto Sans Khmer,,
korean,Korean,Korean,Noto Serif CJK KR,Noto Serif CJK KR,Noto Sans CJK KR,Noto Sans CJK KR,,
kufi,Kufi,Arabic,Noto Kufi Arabic,Noto Kufi Arabic,Noto Kufi Arabic,Noto Kufi Arabic,,Kufic calligraphic form for Arabic
lao,Lao,Lao,Noto Serif Lao,Noto Serif Lao,Noto Sans Lao,Noto Sans Lao,,
latin,Latin,Latin,Causality Courier,Times New Roman,Arial,Arial,"Noto Sans, Noto Serif",
malayalam,Malayalam,Malayalam,Noto Serif Malayalam,Noto Serif Malayalam,Noto Sans Malayalam,Noto Sans Malayalam,,
naskh,Naskh,Arabic,Noto Naskh Arabic,Noto Naskh Arabic,Noto Naskh Arabic,Noto Naskh Arabic,,Naskh calligraphic form for Arabic
nastaliq,Nastaliq,Arabic,Noto Nastaliq Urdu,Noto Nastaliq Urdu,Noto Nastaliq Urdu,Noto Nastaliq Urdu,,Nastaliq calligraphic form for Urdu
oriya,Oriya,Oriya,Noto Sans Oriya,Noto Sans Oriya,Noto Sans Oriya,Noto Sans Oriya,,
pIqaD,pIqaD,x-pIqaD,Klingon pIqaD HaSta,Klingon pIqaD HaSta,pIqaD qolqoS,Klingon pIqaD HaSta,"Klingon pIqaD Mandel, Klingon pIqaD vaHbo'",
sinhala,Sinhala,Sinhala,Noto Serif Sinhala,Noto Serif Sinhala,Noto Sans Sinhala,Noto Sans Sinhala,,
sundanese,Sundanese,Sundanese,Noto Sans Sundanese,Noto Sans Sundanese,Noto Sans Sundanese,Noto Sans Sundanese,,
symbols,,,Noto Sans Symbols,Noto Sans Symbols,Noto Sans Symbols,Noto Sans Symbols,Noto Sans Symbols2,
tamil,Tamil,Tamil,Noto Serif Tamil,Noto Serif Tamil,Noto Sans Tamil,Noto Sans Tamil,,
telugu,Telugu,Telugu,Noto Serif Telugu,Noto Serif Telugu,Noto Sans Telugu,Noto Sans Telugu,,
thai,Thai,Thai,Noto Serif Thai,Noto Serif Thai,Noto Sans Thai,Noto Sans Thai,,
tibetan,Tibetan,Tibetan,Noto Sans Tibetan,Noto Sans Tibetan,Noto Sans Tibetan,Noto Sans Tibetan,,
zh_CN,Simplified Chinese,Han_CN,Noto Serif CJK SC,Noto Serif CJK SC,Noto Sans CJK SC,Noto Sans CJK SC,,
zh_TW,Traditional Chinese,Han_TW,Noto Serif CJK TC,Noto Serif CJK TC,Noto Sans CJK TC,Noto Sans CJK TC,,
